State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Chattisgarh,Balodabazar,Bhatapara,Other,Oil Seeds,0.3,3981,3981,3981,23-Oct-24
Chattisgarh,Kabirdham,Kawardha,Yellow,Oil Seeds,1.9,3900,4240,4100,14-Oct-24
Gujarat,Amreli,Bagasara,Yellow,Oil Seeds,2.5,2800,3975,3387,17-Oct-24
Gujarat,Amreli,Bagasara,Yellow,Oil Seeds,3,2675,3700,3187,22-Oct-24
Gujarat,Amreli,Dhari,Local,Oil Seeds,2.95,3760,4055,3935,10-Oct-24
Gujarat,Amreli,Savarkundla,Soyabeen,Oil Seeds,16,3515,4150,3833,21-Oct-24
Gujarat,Bhavnagar,Bhavnagar,Other,Oil Seeds,7.56,3850,4000,3925,21-Oct-24
Gujarat,Bhavnagar,Palitana,Local,Oil Seeds,0.8,3900,4030,3965,08-Oct-24
Gujarat,Dahod,Dahod,Soyabeen,Oil Seeds,6.5,4550,4650,4600,18-Oct-24
Gujarat,Dahod,Dahod,Soyabeen,Oil Seeds,45.4,4550,4650,4600,15-Oct-24
Gujarat,Devbhumi Dwarka,Bhanvad,Soyabeen,Oil Seeds,1,3500,4250,3850,16-Oct-24
Gujarat,Devbhumi Dwarka,Bhanvad,Soyabeen,Oil Seeds,1,3500,4250,4100,15-Oct-24
Gujarat,Jamnagar,Kalawad,Black,Oil Seeds,2.4,4005,4005,4005,10-Oct-24
Gujarat,Junagarh,Bhesan,Other,Oil Seeds,276,3500,4500,4000,14-Oct-24
Gujarat,Junagarh,Junagadh,Soyabeen,Oil Seeds,101.5,3500,4380,4250,10-Oct-24
Gujarat,Junagarh,Junagadh,Soyabeen,Oil Seeds,171.9,3500,4360,4000,18-Oct-24
Gujarat,Junagarh,Visavadar,Black,Oil Seeds,189.1,3755,4295,4025,15-Oct-24
Gujarat,Rajkot,Gondal,Yellow,Oil Seeds,44,3750,4505,4430,04-Oct-24
Gujarat,Rajkot,Gondal,Yellow,Oil Seeds,201.5,3505,4530,4280,14-Oct-24
Gujarat,Rajkot,Gondal,Yellow,Oil Seeds,227.5,3255,4505,4005,18-Oct-24
Gujarat,Rajkot,Gondal,Yellow,Oil Seeds,502,3005,4605,4005,24-Oct-24
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Soyabeen,Oil Seeds,78.3,2750,4430,3750,21-Oct-24
Gujarat,Rajkot,Upleta,Soyabeen,Oil Seeds,60.5,2500,4140,3700,25-Oct-24
Gujarat,Sabarkantha,Himatnagar,Yellow,Oil Seeds,4,4025,4450,4238,11-Oct-24
Gujarat,Sabarkantha,Modasa,Yellow,Oil Seeds,33,2750,4300,4300,22-Oct-24
Gujarat,Sabarkantha,Vadali,Other,Oil Seeds,40,3850,4892,4892,25-Oct-24
Karnataka,Bangalore,Bangalore,Soyabeen,Oil Seeds,7,5500,6200,5850,09-Oct-24
Karnataka,Belgaum,Bailahongal,Soyabeen,Oil Seeds,800,4280,4320,4300,10-Oct-24
Karnataka,Belgaum,Sankeshwar,Soyabeen,Oil Seeds,84,4000,4300,4200,16-Oct-24
Karnataka,Belgaum,Sankeshwar,Soyabeen,Oil Seeds,115,4000,4300,4200,19-Oct-24
Karnataka,Bidar,Bidar,Soyabeen,Oil Seeds,978,2444,4441,3860,15-Oct-24
Karnataka,Bidar,Bidar,Soyabeen,Oil Seeds,"1,133.00",2011,4462,3879,16-Oct-24
Karnataka,Dharwad,Hubli (Amaragol),Soyabeen,Oil Seeds,92,1110,7036,4186,26-Oct-24
Karnataka,Dharwad,Hubli (Amaragol),Soyabeen,Oil Seeds,176,2820,4341,4050,05-Oct-24
Karnataka,Dharwad,Kundagol,Soyabeen,Oil Seeds,559,3000,4400,3106,23-Oct-24
Karnataka,Gadag,Laxmeshwar,Soyabeen,Oil Seeds,1,4067,4267,4224,01-Oct-24
Karnataka,Gadag,Laxmeshwar,Soyabeen,Oil Seeds,4,2560,4109,3970,07-Oct-24
Karnataka,Haveri,Savanur,Soyabeen,Oil Seeds,13,3030,4249,4214,03-Oct-24
Karnataka,Kalburgi,Chincholi,Soyabeen,Oil Seeds,25,4000,4200,4100,16-Oct-24
Madhya Pradesh,Agar Malwa,Nalkheda(F&V),Yellow,Oil Seeds,333.3,3800,4426,4145,09-Oct-24
